Prospect ID,Lead Number,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Lead Profile,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity
4e897a58-2071-4596-bd1e-c0c47b1c9f15,660462,Quick Add Form,Olark Chat,No,Yes,0,9,1628,9.0,Modified,UAE,Supply Chain Management,Reference,Unemployed,Affordable Fees,No,No,No,No,No,No,No,No,Diploma holder (Not Eligible),,No,No,Other Leads,,02.Medium,,15,15,No,No,Modified
3043733d-1bb2-49be-a57a-cae63464f9e2,660461,Lead Add Form,Olark Chat,Yes,No,1,9,933,9.0,Converted to Lead,Kuwait,Healthcare Management,Reference,,Better Career Prospects,No,No,No,No,No,No,No,No,,Not Sure,No,No,Dual Specialization Student,Other Metro Cities,01.High,02.Medium,15,15,No,No,Olark Chat Conversation
03e37300-d455-4296-9a38-e37c8c602d5b,660460,Lead Add Form,Direct Traffic,No,No,0,2,1242,2.0,Olark Chat Conversation,Bahrain,Select,Word Of Mouth,,,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Lateral Student,,01.High,01.High,18,17,No,Yes,Email Opened
01839fd6-071d-41c4-b04b-a2a1bd9b8d13,660459,Quick Add Form,Email,Yes,No,0,12,1459,12.0,Modified,Kuwait,IT Projects Management,Reference,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,,No,No,Lateral Student,Mumbai,02.Medium,03.Low,12,11,No,No,Modified
d910d443-80f3-4863-b45f-9ae0191b6016,660458,API,Reference,No,No,1,17,1580,17.0,View in browser link Clicked,,Select,Multiple Sources,Unemployed,Flexibility & Convenience,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,,03.Low,02.Medium,9,15,No,Yes,Unreachable
b7daa8fb-eac4-48c7-8e1a-6bf98734c45e,660457,Landing Page Submission,Olark Chat,No,No,1,0,0,0.0,SMS Sent,,Select,Select,Student,Quality Education,No,No,No,No,No,No,No,No,in touch with EINS,Not Sure,No,No,Other Leads,,01.High,01.High,18,18,No,Yes,Page Visited on Website
174cb290-1d08-4045-8263-5d1aaa61f3b6,660456,API,Email,No,No,0,4,698,4.0,Converted to Lead,Saudi Arabia,Hospitality Management,Multiple Sources,,Flexibility & Convenience,No,No,No,No,No,No,No,No,number not provided,High in Relevance,No,No,Potential Lead,Other Cities of Maharashtra,02.Medium,01.High,12,17,No,No,Unreachable
8e64f3d4-3ff6-40a4-ba44-aa335afbe2e3,660455,Quick Add Form,Olark Chat,No,No,1,5,576,5.0,Had a Phone Conversation,Singapore,IT Projects Management,Email,,Quality Education,No,No,No,No,No,No,No,No,Diploma holder (Not Eligible),Not Sure,No,No,Dual Specialization Student,,01.High,02.Medium,15,16,No,No,Email Opened
e82e4a11-2319-4f4a-b1cf-dd2b91d4f2e5,660454,Quick Add Form,Email,No,No,1,17,1311,17.0,Email Opened,United Kingdom,Healthcare Management,Reference,Businessman,,No,No,No,No,No,No,No,No,Diploma holder (Not Eligible),Low in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,15,17,No,No,Email Opened
140836fe-fc8b-4bda-9fe1-08b0fa21c53d,660453,Lead Import,Organic Search,No,No,0,12,623,7.99,Unsubscribed,Qatar,Select,Other,Businessman,Flexibility & Convenience,No,No,No,No,No,No,No,No,opp hangup,High in Relevance,No,No,Potential Lead,Other Metro Cities,02.Medium,02.Medium,12,12,No,No,Unsubscribed
61d24d47-a958-4a71-a39b-8fd87b9e961a,660452,API,Reference,No,No,1,3,1716,3.0,Unreachable,India,IT Projects Management,Select,Unemployed,Quality Education,No,No,No,No,No,No,No,No,,,No,No,Lateral Student,Other Cities,02.Medium,02.Medium,12,16,Yes,Yes,Unreachable
6e705fe5-61bf-4762-a4ab-2d081a440c48,660451,Lead Add Form,Reference,Yes,No,0,7,1129,7.0,Email Opened,India,Supply Chain Management,Select,,Quality Education,No,No,No,No,No,No,No,No,,High in Relevance,No,No,Dual Specialization Student,Other Metro Cities,01.High,02.Medium,16,16,No,No,Email Opened
83c078d4-d83b-4975-b031-cb49a48346de,660450,API,Referral Sites,No,No,0,6,892,7.09,SMS Sent,,Select,Reference,,Flexibility & Convenience,No,No,No,No,No,No,No,No,Interested in other courses,Worst,No,No,Lateral Student,,02.Medium,02.Medium,15,14,No,Yes,Email Opened
54a3240d-d229-4bff-80ee-9a373fc0e203,660449,Landing Page Submission,Email,Yes,No,0,6,896,6.0,Email Bounced,Kuwait,IT Projects Management,Student of SomeSchool,,,No,No,No,No,No,No,No,No,Closed by Horizzon,Might be,No,No,Select,Other Metro Cities,01.High,01.High,15,15,No,Yes,Olark Chat Conversation
0a061981-03b4-46cc-9dd1-4c42341bf998,660448,Lead Import,Reference,No,No,1,0,0,0.0,SMS Sent,Saudi Arabia,Marketing Management,Reference,,Quality Education,No,No,No,No,No,No,No,No,,Low in Relevance,No,No,Select,Other Cities,01.High,02.Medium,16,12,No,Yes,Olark Chat Conversation
455ae06e-1aca-4974-a472-9301777069d6,660447,Quick Add Form,Organic Search,Yes,No,0,9,1495,9.0,Unreachable,Kuwait,Healthcare Management,Reference,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Diploma holder (Not Eligible),Not Sure,No,No,Select,Other Cities,02.Medium,02.Medium,12,16,No,No,Unreachable
a4df1c6d-98af-4937-9ac8-f2b65fc30816,660446,Quick Add Form,YouTube,No,No,1,16,727,16.0,Email Opened,Bahrain,IT Projects Management,Other,Other,,No,No,No,No,No,No,No,No,Diploma holder (Not Eligible),Low in Relevance,No,No,Other Leads,,02.Medium,02.Medium,14,13,No,No,Email Opened
f126cfee-e502-475a-bc02-8982a47e926c,660445,Lead Add Form,Welingak Website,No,No,1,3,739,3.0,Olark Chat Conversation,Bahrain,Select,Email,Working Professional,Flexibility & Convenience,No,No,No,No,No,No,No,No,switched off,,No,No,Other Leads,Other Cities,02.Medium,01.High,15,18,No,No,Email Opened
d8ee15f9-a9a4-424e-8368-dc617912ec9b,660444,Lead Add Form,Welingak Website,No,No,0,9,1847,9.0,View in browser link Clicked,Kuwait,Media and Advertising,Online Search,Working Professional,,No,No,No,No,No,No,No,No,Interested in other courses,Low in Relevance,No,No,Potential Lead,,02.Medium,,13,11,No,No,Email Opened
f955ab05-b0af-4ffd-aa84-04f7c6287c0f,660443,Quick Add Form,Facebook,No,No,0,14,551,14.0,SMS Sent,Singapore,Finance Management,Other,,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Not Sure,No,No,Other Leads,Other Cities of Maharashtra,02.Medium,,16,16,No,No,Page Visited on Website
e2af60a4-e3dc-415c-9426-6d600c684b6a,660442,Quick Add Form,Referral Sites,No,No,1,9,1628,9.0,Modified,United Kingdom,Media and Advertising,Select,,,No,No,No,No,No,No,No,No,Graduation in progress,Worst,No,No,Dual Specialization Student,Other Cities of Maharashtra,02.Medium,02.Medium,14,14,No,Yes,Modified
9eea68b3-cce9-4ad3-8fc8-8c6056a7f5c1,660441,Landing Page Submission,Email,No,No,0,5,1770,5.0,Olark Chat Conversation,Qatar,Services Excellence,Online Search,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Worst,No,No,Lateral Student,Mumbai,02.Medium,01.High,15,15,No,No,Olark Chat Conversation
f75b9810-9062-49cd-9a0a-9c0216ef512c,660440,Landing Page Submission,Organic Search,Yes,No,0,3,1479,3.0,Modified,India,"Banking, Investment And Insurance",Email,Businessman,Flexibility & Convenience,No,No,No,No,No,No,No,No,number not provided,Might be,No,No,Select,Other Cities of Maharashtra,01.High,02.Medium,17,16,No,No,Modified
b32bfe8c-f20b-437c-94ad-ceb6b7cc15d8,660439,Quick Add Form,Google,No,No,0,4,498,8.25,Email Bounced,Singapore,International Business,Email,Businessman,Better Career Prospects,No,No,No,No,No,No,No,No,number not provided,,No,No,Other Leads,Mumbai,01.High,02.Medium,18,14,No,No,Modified
7b27dbe8-a69f-4cf8-b569-bb292c3794c9,660438,Lead Add Form,Olark Chat,No,No,0,3,761,3.0,Unsubscribed,,IT Projects Management,Word Of Mouth,,Flexibility & Convenience,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,,02.Medium,,15,10,No,No,Unsubscribed
aef3f6d6-de3d-4d77-9338-6dd0991de8dd,660437,Lead Import,Direct Traffic,No,No,1,15,1295,15.0,Unsubscribed,Qatar,Healthcare Management,Reference,Businessman,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Worst,No,No,,,02.Medium,01.High,15,16,No,No,Unsubscribed
61abde2c-46dd-4ca3-b8cc-b37300437cce,660436,Lead Add Form,Olark Chat,No,No,0,4,1362,4.0,Olark Chat Conversation,,IT Projects Management,Other,Unemployed,Flexibility & Convenience,No,No,No,No,No,No,No,No,Already a student,High in Relevance,No,No,Dual Specialization Student,,02.Medium,02.Medium,16,13,No,Yes,Modified
faaf92dd-4f31-4e85-8805-90b7703ca556,660435,Lead Add Form,Reference,No,No,0,3,929,3.61,Form Submitted on Website,United States,"Banking, Investment And Insurance",Email,,Better Career Prospects,No,No,No,No,No,No,No,No,in touch with EINS,Worst,No,No,Lateral Student,,02.Medium,02.Medium,14,15,No,No,Unreachable
1f1bb33c-7368-4f20-a514-69c079802ef8,660434,Quick Add Form,Referral Sites,No,No,0,15,1477,15.0,Converted to Lead,Bahrain,Operations Management,Other,Student,,No,No,No,No,No,No,No,No,,Worst,No,No,Dual Specialization Student,,01.High,02.Medium,16,13,No,No,Olark Chat Conversation
9fe8cd75-6c79-4493-90cd-8ffcc5960be7,660433,Lead Import,Welingak Website,No,No,0,10,1545,10.0,Had a Phone Conversation,Qatar,IT Projects Management,Word Of Mouth,Working Professional,Quality Education,No,No,No,No,No,No,No,No,Already a student,Worst,No,No,Dual Specialization Student,Other Cities,01.High,01.High,16,16,No,No,Olark Chat Conversation
6bf26b2a-7551-4941-8cfd-34f2b44104f4,660432,API,Welingak Website,No,No,0,14,603,14.0,Unsubscribed,United States,Select,Word Of Mouth,Other,Affordable Fees,No,No,No,No,No,No,No,No,,Might be,No,No,Lateral Student,Thane & Outskirts,02.Medium,01.High,15,15,No,Yes,Unsubscribed
2aed17ad-d1a6-455a-9fe2-ad97e5af0070,660431,Lead Add Form,Email,No,No,1,7,1413,7.0,Converted to Lead,Saudi Arabia,Supply Chain Management,Select,,Flexibility & Convenience,No,No,No,No,No,No,No,No,Already a student,Worst,No,No,Dual Specialization Student,,03.Low,02.Medium,9,16,No,No,Olark Chat Conversation
e514a8d2-3564-446f-be1a-df7f66496f77,660430,Lead Add Form,Email,No,No,0,10,462,10.0,Unsubscribed,Saudi Arabia,Retail Management,Student of SomeSchool,Working Professional,Flexibility & Convenience,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Thane & Outskirts,01.High,01.High,18,17,No,Yes,Unsubscribed
a66639b4-22fb-49c7-a85d-982ecb322e8f,660429,Lead Import,Welingak Website,No,Yes,1,4,1172,4.0,Unsubscribed,Kuwait,Supply Chain Management,Word Of Mouth,Student,Quality Education,No,No,No,No,No,No,No,No,Closed by Horizzon,Might be,No,No,Potential Lead,Thane & Outskirts,01.High,02.Medium,17,12,No,No,Unsubscribed
6d55174c-863d-48b4-89a0-924e72057ed4,660428,Lead Add Form,Email,No,No,0,11,1861,7.84,Email Bounced,Oman,Business Administration,Word Of Mouth,,Flexibility & Convenience,No,No,No,No,No,No,No,No,switched off,,No,No,Lateral Student,Other Cities of Maharashtra,01.High,02.Medium,16,13,No,No,Page Visited on Website
cc658165-1a70-4876-87d7-1aeeee6acf5f,660427,Quick Add Form,YouTube,No,No,0,13,1393,13.0,Unreachable,UAE,Healthcare Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,,Not Sure,No,No,Select,Thane & Outskirts,02.Medium,02.Medium,15,16,No,No,Unreachable
bd1716df-0657-4315-bb68-0bcfcadb40d6,660426,Lead Add Form,Google,No,No,0,10,165,1.01,SMS Sent,Saudi Arabia,Hospitality Management,Email,,Quality Education,No,No,No,No,No,No,No,No,Diploma holder (Not Eligible),Worst,No,No,Lateral Student,Other Metro Cities,,02.Medium,17,14,No,No,Modified
1800deb3-e140-46e4-9deb-ce97bd63fc53,660425,Lead Add Form,Organic Search,Yes,No,0,4,899,1.43,Converted to Lead,,"Banking, Investment And Insurance",Word Of Mouth,Student,Flexibility & Convenience,No,No,No,No,No,No,No,No,,,No,No,Select,,,02.Medium,11,12,No,No,Unreachable
17cac454-de13-4212-8d8a-5c39570908ca,660424,Landing Page Submission,Facebook,No,No,0,6,701,6.0,SMS Sent,Bahrain,Business Administration,Select,,Quality Education,No,No,No,No,No,No,No,No,,Low in Relevance,No,No,Lateral Student,Mumbai,02.Medium,02.Medium,16,16,No,No,Modified
62c18d23-a6a3-44c8-9166-d7421712dcf9,660423,Lead Import,Google,No,No,0,4,1510,6.95,Modified,,Retail Management,Student of SomeSchool,Working Professional,,No,No,No,No,No,No,No,No,in touch with EINS,,No,No,Dual Specialization Student,,01.High,02.Medium,15,12,No,No,Modified
6dec5d98-e972-49ef-a0a1-cd4047d11ad6,660422,Lead Add Form,Welingak Website,No,No,1,15,1576,15.0,Email Opened,,Services Excellence,Multiple Sources,Unemployed,Flexibility & Convenience,No,No,No,No,No,No,No,No,Interested in other courses,,No,No,Potential Lead,Mumbai,01.High,02.Medium,18,12,No,No,Email Opened
589fbb66-6ef4-41bc-90b3-50544ae6caef,660421,Lead Import,Direct Traffic,No,No,0,2,298,2.0,Had a Phone Conversation,Saudi Arabia,Operations Management,Reference,Other,Affordable Fees,No,No,No,No,No,No,No,No,Diploma holder (Not Eligible),Not Sure,No,No,Potential Lead,Other Metro Cities,02.Medium,01.High,15,16,No,Yes,Page Visited on Website
c5fcd6d8-394a-4e8a-b7a5-187172d32ebf,660420,Lead Add Form,Direct Traffic,No,No,0,5,923,5.0,Email Link Clicked,Singapore,Marketing Management,Select,Unemployed,Affordable Fees,No,No,No,No,No,No,No,No,Ringing,Not Sure,Yes,No,Other Leads,,02.Medium,01.High,16,15,No,Yes,Email Link Clicked
271f6b79-c587-401b-972e-41f8d0c2f5e1,660419,API,Organic Search,No,No,1,0,0,0.0,Unreachable,United Kingdom,Rural and Agribusiness,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Diploma holder (Not Eligible),Not Sure,No,No,Other Leads,,,02.Medium,12,14,No,Yes,Unreachable
